2025-10-29 14:10:12,453  	INFO    	pipeline.utils.staging             	Running mini_game_buffs...
2025-10-29 14:10:12,458  	INFO    	pipeline.utils.feature_engineering 	Extracted earned buff data for 75 rows.
2025-10-29 14:10:12,458  	INFO    	pipeline.utils.staging             	mini_game_buffs done.
2025-10-29 14:10:12,459  	INFO    	pipeline.utils.staging             	Running mini_game_dolls...
2025-10-29 14:10:12,464  	INFO    	pipeline.utils.feature_engineering 	Extracted doll data for 23 rows.
2025-10-29 14:10:12,465  	INFO    	pipeline.utils.staging             	mini_game_dolls done.
2025-10-29 14:10:12,465  	INFO    	pipeline.utils.staging             	Running currency_define_permanent...
2025-10-29 14:10:12,471  	INFO    	pipeline.utils.feature_engineering 	Extracted permanent shop item data for 42 rows.
2025-10-29 14:10:12,471  	INFO    	pipeline.utils.staging             	currency_define_permanent done.
2025-10-29 14:10:12,471  	INFO    	pipeline.utils.staging             	Running currency_define_consumable...
2025-10-29 14:10:12,478  	INFO    	pipeline.utils.feature_engineering 	Extracted consumable shop item data for 206 rows.
2025-10-29 14:10:12,478  	INFO    	pipeline.utils.staging             	currency_define_consumable done.
2025-10-29 14:10:12,478  	INFO    	pipeline.utils.staging             	Running currency_define_board...
2025-10-29 14:10:12,481  	INFO    	pipeline.utils.feature_engineering 	Extracted board item data for 83 rows.
2025-10-29 14:10:12,482  	INFO    	pipeline.utils.staging             	currency_define_board done.
2025-10-29 14:10:12,482  	INFO    	pipeline.utils.staging             	Running currency_define_keys...
2025-10-29 14:10:12,484  	INFO    	pipeline.utils.feature_engineering 	Defined keys in spent_to for 6 rows.
2025-10-29 14:10:12,484  	INFO    	pipeline.utils.staging             	currency_define_keys done.
2025-10-29 14:10:12,484  	INFO    	pipeline.utils.staging             	Running apply_value_maps...
2025-10-29 14:10:12,539  	WARNING 	pipeline.utils.feature_engineering 	'event_params__ad_shown_where' not found in DataFrame.
2025-10-29 14:10:12,541  	WARNING 	pipeline.utils.feature_engineering 	'spent_in_crystal' not found in DataFrame.
2025-10-29 14:10:12,551  	INFO    	pipeline.utils.staging             	apply_value_maps done.
2025-10-29 14:10:12,551  	INFO    	pipeline.utils.staging             	Running question_addressable_index...
2025-10-29 14:10:12,570  	INFO    	pipeline.utils.feature_engineering 	Question address created for 18426 rows.
2025-10-29 14:10:12,570  	INFO    	pipeline.utils.staging             	question_addressable_index done.
2025-10-29 14:10:12,767  	INFO    	__main__                           	Data pipeline complete. Processed data saved.
